,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
xi_acute,0.0,0.0,0.0,0.0,0.0,0.0,3615.0,3168.0,1.0
xi_chronic,0.0,0.0,0.0,0.0,0.0,0.0,3619.0,3298.0,1.0
beta_xi,1.46,0.431,0.664,2.252,0.009,0.007,2069.0,1997.0,1.0
gamma_coh,1.078,0.336,0.507,1.661,0.006,0.004,3167.0,2826.0,1.0
viral_damage_acute,0.895,0.06,0.796,1.0,0.001,0.001,2357.0,1798.0,1.0
viral_damage_chronic,0.954,0.035,0.892,1.0,0.001,0.0,3307.0,2948.0,1.0
membrane_acute,1.114,0.064,1.017,1.203,0.001,0.001,2347.0,1867.0,1.0
membrane_chronic,1.041,0.047,1.0,1.113,0.001,0.001,2380.0,2772.0,1.0
Pi_acute,1.361,0.159,1.129,1.663,0.002,0.002,3399.0,3340.0,1.0
Pi_chronic,1.07,0.082,0.925,1.227,0.001,0.001,3228.0,4508.0,1.0
protection_ratio,1.278,0.165,1.028,1.577,0.002,0.002,3954.0,4255.0,1.0
