,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
xi_acute_nm[0],0.5014,0.0711,0.3597,0.6328,0.0009,0.0006,6990.3763,7323.5173,1.0009
xi_acute_nm[1],0.5534,0.0724,0.4093,0.6883,0.0008,0.0006,8185.6833,7059.5071,1.001
xi_acute_nm[2],0.5895,0.0732,0.4459,0.7283,0.0009,0.0006,6644.4783,8039.385,1.0009
xi_acute_nm[3],0.632,0.0824,0.4809,0.7983,0.001,0.0007,7377.2242,7311.2283,1.0005
xi_healthy_nm[0],0.641,0.0746,0.5129,0.7869,0.001,0.0007,6232.0585,8971.9042,1.0007
xi_healthy_nm[1],0.6348,0.073,0.5108,0.7815,0.0009,0.0006,7056.5469,8904.2736,1.0013
xi_healthy_nm[2],0.6243,0.0694,0.5026,0.7593,0.0008,0.0006,7454.4607,8496.0776,1.0011
xi_healthy_nm[3],0.6405,0.0742,0.514,0.7889,0.0009,0.0006,7138.2048,9362.941,1.0008
delta_xi_nm[0],-0.1396,0.1014,-0.3534,0.0204,0.0015,0.0011,5101.0486,7384.1634,1.0016
delta_xi_nm[1],-0.0814,0.0955,-0.2774,0.0802,0.0013,0.001,6402.1,7507.229,1.0016
delta_xi_nm[2],-0.0348,0.0914,-0.2205,0.1179,0.0014,0.001,4973.8041,7465.4761,1.0013
delta_xi_nm[3],-0.0086,0.0956,-0.201,0.1645,0.0012,0.0009,5593.0128,8215.6675,1.0009
protection_factor[0],1.1282,0.0891,1.0,1.2837,0.0011,0.0008,4620.2472,4736.2868,1.0013
protection_factor[1],1.1028,0.0767,1.0,1.2434,0.001,0.0007,4887.3218,5138.0515,1.0012
protection_factor[2],1.0869,0.069,0.9999,1.2111,0.0009,0.0006,5333.1716,5524.0161,1.0009
protection_factor[3],1.0705,0.0642,0.9932,1.1945,0.0008,0.0006,5180.3704,6513.9329,1.0005
coh_exp,1.0295,0.3566,0.5006,1.6468,0.0047,0.0033,5290.5541,4565.4504,1.0003
xi_exp,0.2632,0.1709,0.0004,0.5639,0.0025,0.0018,3922.1193,4602.9014,1.002
deloc_exp,0.1945,0.0931,0.0145,0.3536,0.0012,0.0009,4898.1382,2820.584,1.0009
NAA_scale,1.1115,0.0551,1.0206,1.2,0.0007,0.0005,5989.1622,4305.0328,1.001
k_turnover,0.0117,0.0061,0.0003,0.022,0.0001,0.0001,5763.1424,3466.163,1.0006
xi_floor_nm,0.3729,0.0765,0.2425,0.4998,0.001,0.0007,6095.6968,6338.0793,1.0001
xi_ceiling_nm,0.7486,0.1006,0.6001,0.9275,0.0018,0.0012,3188.2319,4426.1143,1.0014
sigma_NAA,0.9038,0.5724,0.1465,1.993,0.0112,0.0079,1656.2479,1034.7456,1.003
sigma_Cho,0.1344,0.0428,0.071,0.2131,0.0005,0.0004,7405.569,7304.3533,0.9999
