,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
coh_exp,2.3265,0.5086,1.4871,3.2568,0.0311,0.022,251.1496,158.1757,1.005
xi_exp,0.1667,0.1378,-0.0587,0.4245,0.0094,0.0078,229.5565,220.4751,1.0222
deloc_exp,0.2096,0.1086,0.0016,0.3939,0.0068,0.007,265.3915,197.4256,1.0171
NAA_base,1.1204,0.0571,1.0185,1.233,0.0028,0.002,417.5187,238.3495,1.0108
k_turnover,0.0229,0.0159,0.0009,0.049,0.0012,0.0009,219.7163,146.3136,1.0053
sigma_NAA,0.0919,0.0338,0.0275,0.1558,0.0027,0.0019,142.1837,99.5769,1.0109
sigma_Cho,0.011,0.0073,0.0026,0.0247,0.0005,0.0004,311.4288,195.9631,1.0089
xi_healthy_nm,0.7972,0.0482,0.7167,0.8871,0.0027,0.0019,325.2358,139.5102,1.0171
xi_acute_nm,0.4249,0.0649,0.3032,0.5413,0.0038,0.0027,292.6824,243.2162,1.0001
xi_chronic_nm,0.7902,0.0649,0.6593,0.9128,0.0031,0.0022,452.3503,263.1244,0.999
delta_xi,0.0,0.0,0.0,0.0,0.0,0.0,326.0311,231.0409,0.9994
