,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
coh_exp,2.0943,0.4665,1.2559,2.9733,0.0063,0.0044,4769.7504,12333.8955,1.0028
xi_exp,0.3756,0.1724,0.0702,0.6988,0.0073,0.0052,633.9172,1673.011,1.0063
deloc_exp,0.2039,0.0933,0.0171,0.3596,0.0024,0.0017,1393.6747,375.8014,1.0038
NAA_base,1.1883,0.0688,1.0539,1.3145,0.0011,0.0008,4909.7966,5825.6782,1.0034
k_turnover,0.0229,0.0059,0.0125,0.0347,0.0003,0.0002,461.1078,1968.1926,1.0083
astrocyte_comp,1.1816,0.0477,1.0914,1.2699,0.0013,0.001,1480.7206,9090.5344,1.004
sigma_NAA,0.0525,0.0314,0.0039,0.1065,0.0019,0.0013,136.2087,39.7648,1.0221
sigma_Cho,0.0064,0.0033,0.002,0.0128,0.0001,0.0001,2485.5808,3749.2269,1.002
xi_healthy_nm,0.5305,0.0528,0.4289,0.6251,0.0006,0.0004,6479.0946,10058.8683,1.0113
xi_acute_nm,0.5,0.0459,0.4138,0.5846,0.0007,0.0005,4874.2492,8537.2749,1.0022
xi_chronic_nm,0.711,0.0817,0.561,0.8649,0.0012,0.0009,4906.5402,10231.5562,1.0017
xi_floor_nm,0.4041,0.0687,0.2764,0.5,0.0008,0.0006,7624.0534,7682.7536,1.0084
xi_ceiling_nm,0.8009,0.0953,0.6394,0.9777,0.0042,0.0029,611.7847,8299.2607,1.0065
delta_xi,0.0,0.0,0.0,0.0,0.0,0.0,3061.0588,11885.9158,1.0024
coh_healthy_eff,0.7483,0.0349,0.6843,0.8163,0.0006,0.0004,3778.0919,8453.168,1.0022
coh_acute_eff,0.7625,0.0323,0.7062,0.8254,0.0011,0.0008,944.4716,7415.6834,1.0064
coh_chronic_eff,0.6561,0.0084,0.65,0.6718,0.0001,0.0001,417.8057,6316.1126,1.0081
